date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:31	23510/23510	---M--	200	added ('OK')	text/html	etag:%22400410a-5bd6-0%22	http://cablegate.wikileaks.org/cable/2009/10/09ANKARA1549.html	cablegate.wikileaks.org/cable/2009/10/09ANKARA1549.html	(from http://cablegate.wikileaks.org/)
15:47:32	37387/37387	---M--	200	added ('OK')	text/html	etag:%22400410e-920b-0%22	http://cablegate.wikileaks.org/cable/2009/10/09BERLIN1360.html	cablegate.wikileaks.org/cable/2009/10/09BERLIN1360.html	(from http://cablegate.wikileaks.org/)
15:47:32	29649/29649	---M--	200	added ('OK')	text/html	etag:%224004113-73d1-0%22	http://cablegate.wikileaks.org/cable/2009/10/09PARIS1461.html	cablegate.wikileaks.org/cable/2009/10/09PARIS1461.html	(from http://cablegate.wikileaks.org/)
15:47:32	40311/40311	---M--	200	added ('OK')	text/html	etag:%228040fff-9d77-0%22	http://cablegate.wikileaks.org/cable/2009/11/09PARIS1473.html	cablegate.wikileaks.org/cable/2009/11/09PARIS1473.html	(from http://cablegate.wikileaks.org/)
15:47:32	25773/25773	---M--	200	added ('OK')	text/html	etag:%228040ff5-64ad-0%22	http://cablegate.wikileaks.org/cable/2009/11/09ANKARA1583.html	cablegate.wikileaks.org/cable/2009/11/09ANKARA1583.html	(from http://cablegate.wikileaks.org/)
15:47:33	25349/25349	---M--	200	added ('OK')	text/html	etag:%228040ffd-6305-0%22	http://cablegate.wikileaks.org/cable/2009/11/09MANAMA642.html	cablegate.wikileaks.org/cable/2009/11/09MANAMA642.html	(from http://cablegate.wikileaks.org/)
15:47:33	33408/33408	---M--	200	added ('OK')	text/html	etag:%228040ff9-8280-0%22	http://cablegate.wikileaks.org/cable/2009/11/09BERLIN1393.html	cablegate.wikileaks.org/cable/2009/11/09BERLIN1393.html	(from http://cablegate.wikileaks.org/)
15:47:33	31074/31074	---M--	200	added ('OK')	text/html	etag:%228040ffa-7962-0%22	http://cablegate.wikileaks.org/cable/2009/11/09BERLIN1395.html	cablegate.wikileaks.org/cable/2009/11/09BERLIN1395.html	(from http://cablegate.wikileaks.org/)
15:47:34	36104/36104	---M--	200	added ('OK')	text/html	etag:%228040ff6-8d08-0%22	http://cablegate.wikileaks.org/cable/2009/11/09ANKARA1594.html	cablegate.wikileaks.org/cable/2009/11/09ANKARA1594.html	(from http://cablegate.wikileaks.org/)
15:47:34	35636/35636	---M--	200	added ('OK')	text/html	etag:%228040ffb-8b34-0%22	http://cablegate.wikileaks.org/cable/2009/11/09BERLIN1403.html	cablegate.wikileaks.org/cable/2009/11/09BERLIN1403.html	(from http://cablegate.wikileaks.org/)
